PRODUKT,KALORIE,BIAŁKO,TŁUSZCZE,WÄ‰GLOWODANY
Makrela. sałatka pikantna,  181,  10.2, 13.2, 6.9 
Maliny,29,1.3,  0.3,  12.0 
Mandarynki,  42,0.6,  0.2,  11.2 
Mango, 73,0.5,  0.3,  17.0 
Marakuja, 34,2.8,  0.2,  6.2 
Marchew,  27,1.0,  0.2,  8.7 
Marchew mrożona,  24,0.9,  0.2,  7.8 
Marchew z roszkiem, 64,1.7,  3.1,  10.8 
Marchew zasmażana,69,1.0,  4.8,  8.4 
Margaryna Bona,442,  0.0,  50.0, 0.0 
Margaryna Flora,  531,  0.0,  60.0, 0.0 
Margaryna Kama,398,  0.0,  45.0, 0.0 
Margaryna mleczna,710,  0.3,  80.0, 0.4 
Margaryna Palma,  710,  0.3,  80.0, 0.4 
Margaryna Rama,621,  0.1,  70.0, 0.4 
Margaryna Słoneczna, 710,  0.3,  80.0, 0.4 
Margaryna Tina,442,  0.0,  45.0, 0.0 
Margaryna zwykła, 710,  0.3,  80.0, 0.4 
Markizy. ciastka, 483,  5.6,  23.0, 64.3 
Mars. baton, 451,  3.6,  18.2, 68.9 
Masło ekstra,735,  0.7,  82.5, 0.7 
Masło roślinne Nova, 442,  0.0,  50.0, 0.0 
Masło roślinne zwykłe,  666,  0.3,  75.0, 0.4 
Masło śmietankowe,659,  1.1,  73.5, 1.1 
Maślanka 0.5%, 37,3.4,  0.5,  4.7 
Mąka pszenna typ 500,342,9.2,1.2,  74.9 
Mąka pszenna typ 550,343,9.6,1.6,  74.1 
Medaliony z indyka,  247,18.6,  17.9, 3.4 
Melon, 36, 0.9,0.3,  8.4 
Mielonka, 171,12.8,  11.7, 3.7 
Migdały,  572,20.0,  52.0, 20.5 
Milky Way. baton, 448,3.6,16.2, 71.8 
Mintaj świeży, 73, 16.6,  0.6,  0.0 
Mizeria ze śmietaną, 34, 1.0,2.2,  2.8 
Mleko kozie,68, 3.2,4.1,  4.5 
Mleko owcze,107,6.0,7.0,  5.1 
Mleko spożywcze 0.5%,39, 3.5,0.5,  5.1 
Mleko spożywcze 1.5%,47, 3.4,1.5,  5.0 
Mleko spożywcze 2.0%,51, 3.4,2.0,  4.9 
Mleko spożywcze 3.2%,61, 3.3,3.2,  4.8 
Mleko spożywcze 3.5%,64, 3.3,3.5,  4.8 
Mleko w proszku odtł.,360,35.7,  0.8,  51.2 
Mleko w proszku pełne,479,27.0,  24.0, 38.7 
Mleko zagęszczone niesłodzone, 131,6.6,7.5,  9.4 
Mleko zagęszczone słodzone, 326,7.5,8.0,  55.3 
Monte. deser czekoladowey,  195,2.8,13.3, 15.9 
Morela,47, 0.9,0.2,  11.9 
Morele suszone,284,5.4,1.2,  72.2 
Morele. dżem niskosł.,157,0.4,0.1,  38.8 
Morlinki. parówki,448,3.6,16.2, 71.8 
Morszczuk świeży, 89, 17.2,  2.2,  0.0 
Morwa, 48, 1.4,0.4,  9.8 
Mus jabłkowy,  127,2.2,0.5,  28.7 
Musli z owocami suszonymi,  325,8.4,3.4,  72.2 
Musli z rodzynkami i orzechami,375,11.5,  12.7, 62.9 
Musztarda,162,5.7,6.4,  22.0 
Naleśniki z kapustą, 147,  3.2,  9.2,  15.2 
Naleśniki z serem,242,  10.1, 10.3, 27.4 
Napoleonka. ciastko, 324,  5.0,  16.0, 39.8 
Napój Coca-cola,42,0.0,  0.0,  10.4 
Napój Kubuś Multiwitamina, 52,0.0,  0.0,  12.9 
Napój Mirinda,  52,0.0,  0.0,  12.9 
Napój mleczny jogurtowy,82,4.0,  1.9,  12.1 
Napój mleczny kakaowy,  81,3.3,  2.1,  12.1 
Napój owocowy azowany, 42,0.0,  0.0,  10.3 
Napój Pepsi Cola, 42,0.0,  0.0,  10.4 
Napój Red Bull, 45,0.0,  0.0,  11.3 
Nektar owocowy, 63,0.2,  0.4,  14.6 
Nektarynka,  53,0.9,  0.2,  11.8 
Nesquik. kakao. proszek,380,  3.5,  3.0,  84.3 
Nestle Corn Flakes. płatki kukurydziane,370,  7.3,  0.8,  83.3 
Nestle Lion. baton,491,  7.4,  22.7, 64.1 
Nóżki wieprzowe,276,  23.0, 20.4, 0.0 
Nutella. krem czekoladowy, 45,0.0,  0.0,  11.3 
Ocet winny,  20,0.0,  0.0,  5.0 
Ogórek,13,0.7,  0.1,  2.9 
Ogórek kwaszony,11,1.0,  0.1,  1.9 
Olej kukurydziany, 884,  0.0,  100.0,0.0 
Olej rzepakowo-sojowy,  884,  0.0,  100.0,0.0 
Olej rzepakowy, 884,  0.0,  100.0,0.0 
Olej słonecznikowy,884,  0.0,  100.0,0.0 
Olej sojowy, 884,  0.0,  100.0,0.0 
Oliwa z oliwek, 882,  0.0,  99.6, 0.2 
Oliwki,147,  1.4,  13.9, 4.1 
Oliwki zielone marynowane, 125,  1.4,  12.7, 4.1 
Omlet biszkoptowy ze szpinakiem,  151,  6.4,  10.4, 10.3 
Orzechy arachidowe,560,  25.7, 46.1, 19.2 
Orzechy laskowe,640,  14.4, 63.0, 14.9 
Orzechy pistacjowe,589,  20.5, 48.5, 25.0 
Orzechy włoskie,645,  16.0, 60.3, 18.0 
Ostrygi,  85,5.0,  5.0,  5.0 
Otręby pszenne, 185,  16.0, 4.6,  61.9 
Ozór cielęcy,106,  17.1, 4.2,  0.0 
Ozór wieprzowy, 165,  16.5, 11.1, 0.0 
Paluszki solone,  385,  9.9,  4.9,  75.2 
Papaja, 43,0.6,  0.1,  9.8 
Papryka czerwona, 28,1.3,  0.5,  6.6 
Papryka czerw. kons.,30,0.8,  1.5,  5.0 
Papryka nadz. mięsem,160,  4.4,  10.6, 13.7 
Papryka zielona,  18,1.1,  0.3,  4.6 
Paprykarz Szczeciński,  178,  9.9,  11.9, 8.6 
Parówki,342,  9.5,  34.3, 0.0 
Parówki drobiowe, 259,  10.8, 22.4, 4.2 
Parówki Morlinki, 223,  12.4, 19.1, 0.4 
Pasternak, 80,1.2,  0.3,  18.0 
Pasztet pieczony,  390,  17.0, 31.2, 13.5 
Pasztet podlaski drob.,228,  6.7,  21.1, 3.6 
Pasztet z mięsa miesz.,361,  15.0, 31.1, 6.6 
Pączki, 376,  6.0,  16.0, 52.0 
Pepsi. napój,42,0.0,  0.0,  10.4 
Pestki dyni, 596,  29,46.7, 15.0 
Pędy bambusa,34,2.6,  0.3,  5.2 
Pędy bambusa. kons.,23,1.7,  0.4,  3.2 
Pieczarka. suszona,331,  19.1, 2.1,  49.3 
Pieczarka. świeża, 17,2.7,  0.4,  2.6 
Pieczeń cielęca. duszona, 193,  20.1, 11.8, 1.7 
Pieczeń rzymska,208,  14.4, 11.4, 12.7 
Pieczeń wołowa duszona,155,  15.8, 9.5,  2.0 
Pieczywo chrupkie Wasa,360,  12.0, 2.2,  73.0 
Pieczywo tostowe,  305,  8.1,  4.7,  58.8 
Pieczywo tost. raham, 273,  7.5,  4.2,  53.8 
Piernik z bakaliami,341,  5.9,  9.8,  59.4 
Pierniki alpejskie,367,  4.0,  9.7,  66.3 
Pierniki beskidzkie,338,  3.5,  1.6,  77.3 
Pierogi leniwe, 242,  14.5, 13.9, 15.1 
Pierogi ruskie, 166,  5.6,  5.0,  25.7 
Pierogi z mięsem,  219,  12.0, 11.6, 17.3 
Pierogi z serem,238,  10.9, 9.9,  26.8 
Pierogi z truskawkami, 240,  3.8,  11.4, 32.3 
Pietruszka. korzeń,38,2.6,  0.5,  10.5 
Pietruszka. naĂĽ,41,4.4,  0.4,  9.0 
Pikling,215,  21.8, 14.3, 0.0 
Piwo bezalkoholowe,27,0.2,  0.0,  5.2 
Piwo ciemne pełne, 42,0.4,  0.0,  4.6 
Piwo jasne mocne,  64,7.0,  0.0,  5.4 
Piwo jasne pełne,  49,0.5,  0.0,  3.8 
Pizza mięsno-ziołowa,  327,  16.1, 13.4, 36.8 
Pizza z pieczarkami i cebulą,289,  12.0, 13.3, 32.1 
Placki ziemniaczane,231,  3.6,  14.5, 23.6 
Płastuga. świeża,  86,17.1, 1.9,  0.0 
Płatki jęczmienne, 355,  9.8,  3.6,  79.4 
Płatki kukurydziane,363,  6.9,  2.5,  83.6 
Płatki owsiane, 366,  11.9, 7.2,  69.3 
Płatki owsiane na mleku,  63,2.7,  2.3,  8.2 
Płatki pszenne, 351,  9.0,  3.0,  81.0 
Płatki żytnie,  343,  6.4,  3.2,  82.6 
Polędwica sopocka, 165,  19.9, 9.1,  0.9 
Polędwica wołowa piecz.,  168,  19.7, 9.9,  2.6 
Polędwica z kurczaka,93,20.4, 1.2,  0.0 
Pomarańcza, 44,0.9,  0.2,  11.3 
Pomarańcze. dżem niskosłodzony,159,  0.3,  0.1,  39.2 
Pomidor,  15,0.9,  0.2,  3.6 
Popcorn bez tłuszczu,397,  12.0, 4.2,  77.9 
Popcorn z tłuszczem, 518,  9.0,  28.1, 57.1 
Por,24,2.2,  0.3,  5.7 
Porzeczki białe,  33,1.0,  0.2,  13.1 
Porzeczki czarne, 35,1.3,  0.2,  14.9 
Porzeczki czerwone,  31,1.1,  0.2,  13.8 
Potrawka z kurczaka, 148,  13.2, 9.0,  4.7 
Poziomki, 33,0.8,  0.5,  8.3 
Precelki, 385,  9.1,  3.5,  79.5 
Przyprawa Maggi,  17,2.7,  0.0,  58.4 
Przyprawa Jarzynka, 1.3,  0.2,  14.9 
Pstrąg strumieniowy, 97,19.2, 2.1,  0.0 
Pstrąg tęczowy,160,  18.9, 9.6,  0.0 
Ptysie z bitą śmietaną,  346,  5.4,  25.0, 25.8 
Pulpety mielone,  223,  18.7, 11.1, 13.4 
Pumpernikiel,  252,  5.8,  2.0,  58.3 
